id,name,latitude,longitude,departures,arrivals,combined,docks,launch
209,"Normal Ave & Archer Ave",41.849527,-87.640591,6208,6208,12416,11,2013
498,"California Ave & Fletcher St",41.93842879148,-87.698007756,6179,6179,12358,19,2015
472,"Lincoln Ave & Winona St",41.97491129677,-87.6925025594,6080,6080,12160,15,2015
499,"Kosciuszko Park",41.93058537138,-87.7237773635,6054,6054,12108,15,2015
203,"Western Ave & 21st St",41.854109,-87.685838,5978,5978,11956,15,2013
622,"California Ave & Cortez St",41.900363,-87.696704,5919,5919,11838,15,2017
475,"Washtenaw Ave & Lawrence Ave",41.968987,-87.696027,5912,5912,11824,15,2015
523,"Eastlake Ter & Rogers Ave",42.021019,-87.665086,5774,5774,11548,15,2016
520,"Greenview Ave & Jarvis Ave",42.015962,-87.66857,5551,5551,11102,19,2016
453,"Clark St & Schreiber Ave",41.99925182186,-87.6713773393,5506,5506,11012,15,2015
406,"Lake Park Ave & 35th St",41.83127423549,-87.6087991946,5486,5486,10972,19,2015
489,"Drake Ave & Addison St",41.947326,-87.717582,5433,5433,10866,15,2015
474,"Christiana Ave & Lawrence Ave",41.96835449363,-87.7118306675,5274,5274,10548,15,2015
136,"Racine Ave & 13th St",41.865054,-87.656959,5224,5224,10448,15,2013
208,"Ashland Ave & 21st St",41.85381,-87.665897,5139,5139,10278,15,2013
483,"Avondale Ave & Irving Park Rd",41.953393,-87.732002,5096,5096,10192,19,2015
515,"Paulina St & Howard St",42.019159,-87.673573,4909,4909,9818,19,2016
479,"Drake Ave & Montrose Ave",41.96115407569,-87.7165690733,4900,4900,9800,15,2015
481,"California Ave & Montrose Ave",41.961068,-87.695439,4717,4717,9434,15,2015
484,"Monticello Ave & Irving Park Rd",41.95400483876,-87.7191281797,4583,4583,9166,15,2015
335,"Calumet Ave & 35th St",41.831379,-87.618034,4515,4515,9030,15,2013
487,"California Ave & Byron St",41.95216219326,-87.698051113,4440,4440,8880,19,2015
476,"Kedzie Ave & Leland Ave",41.96668636205,-87.7080519806,4394,4394,8788,15,2015
401,"Shields Ave & 28th Pl",41.842733,-87.635491,4329,4329,8658,11,2015
508,"Central Park Ave & North Ave",41.90965687563,-87.7166319516,4260,4260,8520,15,2015
101,"63rd St Beach",41.78101637196,-87.5761197602,4227,4227,8454,15,2015
381,"Western Ave & Monroe St",41.8797877089,-87.686112808,4127,4127,8254,15,2015
179,"MLK Jr Dr & Pershing Rd",41.8246,-87.61678,4059,4059,8118,15,2013
477,"Manor Ave & Leland Ave",41.965875,-87.700825,4057,4057,8114,11,2015
348,"California Ave & 21st St",41.854016,-87.695445,4031,4031,8062,15,2013
405,"Wentworth Ave & 35th St",41.830777,-87.632504,3966,3966,7932,15,2016
336,"Cottage Grove Ave & 47th St",41.809855,-87.606755,3959,3959,7918,15,2013
485,"Sawyer Ave & Irving Park Rd",41.95358617895,-87.7093107999,3898,3898,7796,15,2015
500,"Central Park Ave & Elbridge Ave",41.93533728263,-87.7168892935,3894,3894,7788,15,2015
510,"Spaulding Ave & Division St",41.90270659438,-87.709219571,3797,3797,7594,11,2015
496,"Avers Ave & Belmont Ave",41.939408,-87.723574,3786,3786,7572,11,2015
480,"Albany Ave & Montrose Ave",41.961041,-87.705866,3743,3743,7486,11,2015
469,"St. Louis Ave & Balmoral Ave",41.98039423475,-87.7161149615,3660,3660,7320,15,2015
413,"Woodlawn Ave & Lake Park Ave",41.81409271048,-87.5970051479,3588,3588,7176,15,2015
366,"Loomis St & Archer Ave",41.84163253965,-87.6574349533,3585,3585,7170,11,2015
470,"Kedzie Ave & Foster Ave",41.975672,-87.709261,3413,3413,6826,11,2015
351,"Cottage Grove Ave & 51st St",41.803038,-87.606615,3306,3306,6612,15,2013
377,"Kedzie Ave & Lake St",41.88460328501,-87.7063037436,3294,3294,6588,15,2015
467,"Western Ave & Lunt Ave",42.0085943972,-87.6904922389,3252,3252,6504,15,2015
9,"Leavitt St & Archer Ave",41.82879201994,-87.6806044594,3216,3216,6432,15,2015
193,"State St & 29th St",41.841707,-87.626938,3173,3173,6346,11,2013
416,"Dorchester Ave & 49th St",41.805772,-87.592464,3061,3061,6122,15,2015
638,"Clinton St & Jackson Blvd (*)",41.878419,-87.640977,3061,3061,6122,32,2018
602,"Central St & Girard Ave",42.064313,-87.686152,2973,2973,5946,15,2016
437,"Washtenaw Ave & Ogden Ave (*)",41.861894,-87.693511,2876,2876,5752,16,2015
601,"Central St Metra",42.063598,-87.69873,2863,2863,5726,15,2016
355,"South Shore Dr & 67th St",41.773643,-87.567514,2831,2831,5662,15,2015
422,"DuSable Museum",41.79156801058,-87.6078521774,2778,2778,5556,11,2015
367,"Racine Ave & 35th St",41.83069611252,-87.6559759116,2696,2696,5392,15,2015
442,"California Ave & 23rd Pl",41.84910969176,-87.6951398068,2664,2664,5328,11,2015
452,"Western Ave & Granville Ave",41.99416136902,-87.689438282,2654,2654,5308,11,2015
12,"South Shore Dr & 71st St",41.7664094567,-87.5656875719,2629,2629,5258,15,2015
378,"California Ave & Lake St",41.88445395657,-87.6962981368,2596,2596,5192,11,2015
625,"Chicago Ave & Dempster St",42.041691,-87.680687,2568,2568,5136,15,2017
271,"Cottage Grove Ave & 43rd St",41.816499,-87.606582,2525,2525,5050,11,2013
495,"Keystone Ave & Montrose Ave",41.96110801623,-87.7289701012,2520,2520,5040,11,2015
262,"Halsted St & 37th St",41.827059,-87.64572,2506,2506,5012,11,2013
200,"MLK Jr Dr & 47th St",41.809851,-87.616279,2456,2456,4912,11,2013
281,"Western Ave & 24th St",41.84847,-87.685109,2456,2456,4912,7,2013
427,"Cottage Grove Ave & 63rd St",41.78059901484,-87.606112388,2436,2436,4872,15,2015
468,"Budlong Woods Library",41.98366470886,-87.6964225611,2397,2397,4794,11,2015
373,"Kedzie Ave & Chicago Ave",41.89546530305,-87.7061278837,2371,2371,4742,11,2015
494,"Kedzie Ave & Bryn Mawr Ave",41.98239708485,-87.7089225202,2313,2313,4626,15,2015
448,"Warren Park East",42.00454962194,-87.6806661451,2196,2196,4392,11,2015
466,"Ridge Blvd & Touhy Ave",42.01213227742,-87.6829126443,2159,2159,4318,11,2015
600,"Dodge Ave & Church St",42.048308,-87.698224,2130,2130,4260,15,2016
517,"Clark St & Jarvis Ave",42.015963,-87.675005,2074,2074,4148,11,2016
450,"Warren Park West",42.001785,-87.688829,2053,2053,4106,11,2015
428,"Dorchester Ave & 63rd St",41.7804056457,-87.5914159893,2052,2052,4104,11,2015
436,"Fairfield Ave & Roosevelt Rd",41.866624,-87.694521,2015,2015,4030,11,2015
352,"Jeffery Blvd & 67th St",41.77351755125,-87.5771428255,1991,1991,3982,11,2015
201,"Indiana Ave & 40th St",41.82168,-87.6216,1966,1966,3932,11,2013
619,"Keystone Ave & Fullerton Ave",41.92459,-87.72785,1963,1963,3926,11,2016
525,"Glenwood Ave & Touhy Ave",42.012701,-87.666058,1943,1943,3886,15,2016
353,"Clark St & Touhy Ave",42.01256011541,-87.6743671152,1934,1934,3868,15,2015
167,"Damen Ave & Coulter St",41.8492,-87.67564,1920,1920,3840,7,2013
415,"Calumet Ave & 51st St",41.80229465088,-87.6180535802,1915,1915,3830,11,2015
522,"Bosworth Ave & Howard St",42.019537,-87.669563,1870,1870,3740,11,2016
456,"2112 W Peterson Ave",41.991178,-87.683593,1845,1845,3690,11,2015
368,"Ashland Ave & Archer Ave",41.83920868403,-87.6656098589,1759,1759,3518,15,2015
455,"Maplewood Ave & Peterson Ave",41.99023602867,-87.6933696402,1737,1737,3474,11,2015
399,"South Shore Dr & 74th St",41.76218896038,-87.55927465,1679,1679,3358,11,2015
636,"Orleans St & Hubbard St (*)",41.890028,-87.636618,1677,1677,3354,12,2018
590,"Kilbourn Ave & Irving Park Rd",41.953733,-87.740569,1588,1588,3176,11,2016
410,"Prairie Ave & 43rd St",41.81665889302,-87.6194124619,1586,1586,3172,15,2015
514,"Ridge Blvd & Howard St",42.019276,-87.68452,1561,1561,3122,11,2016
598,"Elmwood Ave & Austin St",42.025784,-87.684107,1517,1517,3034,15,2016
435,"Kedzie Ave & Roosevelt Rd",41.86649278172,-87.7064961757,1503,1503,3006,11,2015
518,"Conservatory Dr & Lake St",41.885502,-87.716866,1491,1491,2982,11,2016
369,"Wood St & 35th St",41.83010465416,-87.6702983089,1461,1461,2922,11,2015
439,"Kedzie Ave & 21st St",41.85353363213,-87.7050730318,1407,1407,2814,11,2015
375,"Sacramento Blvd & Franklin Blvd",41.889727,-87.70103,1402,1402,2804,11,2015
102,"Stony Island Ave & 67th St",41.77345849948,-87.5853397391,1377,1377,2754,11,2015
488,"Pulaski Rd & Eddy St (Temp)",41.946264,-87.731023,1361,1361,2722,11,2015
635,"Fairbanks St & Superior St (*)",41.895748,-87.620104,1346,1346,2692,12,2018
95,"Stony Island Ave & 64th St",41.778881,-87.586647,1324,1324,2648,11,2015
592,"Knox Ave & Montrose Ave",41.960631,-87.745359,1306,1306,2612,11,2016
527,"Western Ave & Howard St",42.018901,-87.690048,1273,1273,2546,15,2016
385,"Princeton Ave & Garfield Blvd",41.794982,-87.633124,1186,1186,2372,11,2015
11,"Jeffery Blvd & 71st St",41.76663823695,-87.5764501141,1167,1167,2334,11,2015
411,"Halsted St & 47th Pl",41.80813391481,-87.6456165545,1150,1150,2300,11,2015
591,"Kilbourn Ave & Milwaukee Ave",41.948818,-87.74002,1149,1149,2298,15,2016
412,"Princeton Ave & 47th St",41.80931770924,-87.633449288,1059,1059,2118,11,2015
526,"Oakley Ave & Touhy Ave",42.012342,-87.688243,1016,1016,2032,11,2016
599,"Valli Produce - Evanston Plaza",42.039742,-87.699413,1014,1014,2028,15,2016
438,"Central Park Ave & Ogden Ave",41.85420431327,-87.7154058381,1006,1006,2012,15,2015
356,"Stony Island Ave & 71st St",41.7664929373,-87.5864608775,917,917,1834,11,2015
445,"California Ave & 26th St",41.84404003127,-87.6952959227,912,912,1824,11,2015
532,"Austin Blvd & Lake St",41.887919,-87.774446,904,904,1808,11,2016
589,"Milwaukee Ave & Cuyler Ave",41.954468,-87.749594,888,888,1776,11,2016
657,"Wood St & Augusta Blvd",41.899181,-87.6722,871,871,1742,15,2018
429,"Cottage Grove Ave & 67th St",41.77372095205,-87.60563486,865,865,1730,11,2015
443,"Millard Ave & 26th St",41.84456684891,-87.7159103081,860,860,1720,7,2015
421,"MLK Jr Dr & 56th St (*)",41.79342945658,-87.6158532619,854,854,1708,12,2015
388,"Halsted St & 63rd St",41.77938114228,-87.6446208145,839,839,1678,11,2015
552,"Ashland Ave & McDowell Ave",41.80887,-87.66454,789,789,1578,11,2016
408,"Union Ave & Root St",41.819102,-87.643278,787,787,1574,11,2015
446,"Western Ave & 28th St",41.84151770807,-87.6851314409,689,689,1378,11,2015
444,"Albany Ave & 26th St",41.84447501366,-87.7020130128,683,683,1366,11,2015
433,"Kedzie Ave & Harrison St",41.87359967462,-87.7048707493,682,682,1364,11,2015
